feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,label,time
0.8647833466529846,0.41497349739074707,-1.41155297228579e-07,0.0,0.8530258536338806,0.4017992913722992,0.0004795638960786164,0.0,0.8464809060096741,0.37543195486068726,0.0012826547026634216,0.0,0.841191291809082,0.3584871292114258,0.00039671736885793507,0.0,0.8348382711410522,0.34593236446380615,-0.0003382536524441093,0.0,0.8606456518173218,0.3506564199924469,0.005678911693394184,0.0,0.8562241792678833,0.3318747282028198,0.0003221037914045155,0.0,0.8461875915527344,0.32526469230651855,-0.0044770375825464725,0.0,0.8375398516654968,0.323522686958313,-0.007410265505313873,0.0,0.8671165108680725,0.3503934144973755,0.0017708069644868374,0.0,0.8597670197486877,0.3294437527656555,-0.004437250085175037,0.0,0.8459748029708862,0.3292340636253357,-0.008476145565509796,0.0,0.8356260657310486,0.33452415466308594,-0.00992562621831894,0.0,0.8725457787513733,0.353953093290329,-0.0031891348771750927,0.0,0.8623498678207397,0.33516550064086914,-0.009185012429952621,0.0,0.847680926322937,0.3375738263130188,-0.0116249555721879,0.0,0.8373505473136902,0.3437291383743286,-0.011898301541805267,0.0,0.8759360909461975,0.3614044785499573,-0.00840191263705492,0.0,0.8636845946311951,0.34871330857276917,-0.01266187708824873,0.0,0.8517754673957825,0.34972620010375977,-0.013965609483420849,0.0,0.8432266116142273,0.3543147146701813,-0.014045759104192257,0.0,27.796350434553148,5.677477456718988,9.49242823250107,22.629949910570595,41.44887754565747,20.898473018445326,27.259399989592424,66.74289783079145,28.830463311124614,37.39504749954086,69.16622959919208,22.8097142592799,54.80524048330181,50.560093708293714,24.011548765243063,2.0,53.92
0.869293749332428,0.43618062138557434,-2.1022812290993897e-07,0.0,0.8580659627914429,0.41974836587905884,-0.001064075855538249,0.0,0.8522525429725647,0.39501792192459106,-0.0026836504694074392,0.0,0.8473259210586548,0.37807005643844604,-0.005528281442821026,0.0,0.8424295783042908,0.36465808749198914,-0.008115619421005249,0.0,0.8709223866462708,0.36710476875305176,0.0010814573615789413,0.0,0.8651398420333862,0.3499525189399719,-0.007325038779526949,0.0,0.8541379570960999,0.3493970036506653,-0.014337058179080486,0.0,0.8447051644325256,0.35331207513809204,-0.018148981034755707,0.0,0.8782737255096436,0.37167757749557495,-0.0026200173888355494,0.0,0.8684282302856445,0.35428425669670105,-0.01011209562420845,0.0,0.8541850447654724,0.3572427034378052,-0.014841803349554539,0.0,0.8445435762405396,0.36460521817207336,-0.017088133841753006,0.0,0.883415937423706,0.3806307017803192,-0.007370974402874708,0.0,0.8720813989639282,0.3657262325286865,-0.014762286096811295,0.0,0.8568761348724365,0.3705504238605499,-0.016986973583698273,0.0,0.8473584651947021,0.37813398241996765,-0.01709824800491333,0.0,0.8854153752326965,0.3931961953639984,-0.012360339984297752,0.0,0.8730102181434631,0.3826529085636139,-0.017818262800574303,0.0,0.861105740070343,0.3842548429965973,-0.018819613382220268,0.0,0.8531898856163025,0.38840237259864807,-0.0183842945843935,0.0,21.08700433884791,6.2533433860364696,3.9524261997514083,32.25646499932031,59.54512211806603,25.640678948343375,40.79938472167799,67.64012995343043,25.924140946061137,51.61562173787526,68.86939430090683,22.15018167897864,66.87096142310632,48.82755604954049,21.351825379542248,2.0,53.958
0.8720347285270691,0.46186962723731995,-2.8706941179734713e-07,0.0,0.8622485995292664,0.4437330365180969,-0.0055433399975299835,0.0,0.8570915460586548,0.42455628514289856,-0.011159387417137623,0.0,0.8529267311096191,0.41094937920570374,-0.01703222282230854,0.0,0.8496277928352356,0.40009674429893494,-0.022693181410431862,0.0,0.8832749128341675,0.39862069487571716,-0.009509221650660038,0.0,0.8712009787559509,0.3873896598815918,-0.020680775865912437,0.0,0.8583763837814331,0.39590558409690857,-0.028733031824231148,0.0,0.8504146337509155,0.40576812624931335,-0.033074431121349335,0.0,0.8900953531265259,0.40918809175491333,-0.01188115868717432,0.0,0.8744307160377502,0.4004119336605072,-0.021659061312675476,0.0,0.8587102293968201,0.4100092947483063,-0.02574792131781578,0.0,0.8500803112983704,0.419834703207016,-0.027727654203772545,0.0,0.8929972052574158,0.42378470301628113,-0.015222135931253433,0.0,0.8783702254295349,0.4175323247909546,-0.02514270320534706,0.0,0.8622643351554871,0.42569515109062195,-0.02563910000026226,0.0,0.8533814549446106,0.43343934416770935,-0.02441149391233921,0.0,0.8923442959785461,0.43981316685676575,-0.018960580229759216,0.0,0.8798476457595825,0.43422165513038635,-0.026238184422254562,0.0,0.866646409034729,0.43755292892456055,-0.02570769377052784,0.0,0.8584228754043579,0.4419283866882324,-0.023911604657769203,0.0,12.838493325537247,6.889762276716828,4.097454853943747,58.238016304274005,64.46625360297516,18.25463991271618,75.29179319881477,58.41988947049907,17.446531749857478,84.51672175187194,55.97832915245976,16.05564149813283,89.21735999526366,47.58810519046584,16.260056607068986,2.0,53.984
0.6903519034385681,0.8541853427886963,1.5530252994722105e-07,0.0,0.672803521156311,0.8525874018669128,-0.01635795459151268,0.0,0.6597769260406494,0.8625445365905762,-0.02575010247528553,0.0,0.6542307734489441,0.8789516091346741,-0.03297675400972366,0.0,0.6506910920143127,0.8962852954864502,-0.03992985561490059,0.0,0.6698943376541138,0.9167465567588806,-0.019984383136034012,0.0,0.6702174544334412,0.9496775269508362,-0.02981843613088131,0.0,0.6723364591598511,0.9706416726112366,-0.037152424454689026,0.0,0.6751294136047363,0.9886744022369385,-0.042193565517663956,0.0,0.6820995807647705,0.9230120778083801,-0.017103781923651695,0.0,0.684863805770874,0.9570905566215515,-0.02590552717447281,0.0,0.6889483332633972,0.9799898862838745,-0.03330324590206146,0.0,0.6930550932884216,0.9983987808227539,-0.03842537850141525,0.0,0.6928481459617615,0.921997606754303,-0.015303991734981537,0.0,0.6974814534187317,0.9543288350105286,-0.02330770716071129,0.0,0.7026066780090332,0.9756107330322266,-0.029383501037955284,0.0,0.7072252631187439,0.9928363561630249,-0.032980918884277344,0.0,0.7029696106910706,0.9159814715385437,-0.01475093699991703,0.0,0.7082204818725586,0.9421873688697815,-0.021877702325582504,0.0,0.7127205729484558,0.9595680236816406,-0.02599470317363739,0.0,0.716493546962738,0.9740580320358276,-0.028133172541856766,0.0,36.26285443081233,31.14606374263907,6.719406407458591,17.872356460759967,5.5807091150293555,4.73514509686572,11.140101648555264,6.161722115746186,3.40252923187147,5.980880054416033,5.493773004350768,4.349032004207083,1.7786198700407023,3.6906637044238093,4.787879696981407,2.0,54.037
0.6848240494728088,0.8286073207855225,8.456443367776956e-08,0.0,0.6698023080825806,0.8249691724777222,-0.017741139978170395,0.0,0.6581658124923706,0.8335605263710022,-0.02804277092218399,0.0,0.6526644825935364,0.8479311466217041,-0.03612301126122475,0.0,0.649804949760437,0.863660454750061,-0.044081930071115494,0.0,0.6683233976364136,0.891083836555481,-0.02349969930946827,0.0,0.6689718961715698,0.923186182975769,-0.034090835601091385,0.0,0.6712790727615356,0.9423035383224487,-0.04181564971804619,0.0,0.6737412810325623,0.9595587849617004,-0.04732894152402878,0.0,0.6799800395965576,0.8977336287498474,-0.02068835310637951,0.0,0.6830160021781921,0.9343379735946655,-0.030114296823740005,0.0,0.687294602394104,0.9561076164245605,-0.03761548548936844,0.0,0.6913062334060669,0.973677396774292,-0.04317252337932587,0.0,0.6903439164161682,0.8963859677314758,-0.019002607092261314,0.0,0.6963682770729065,0.9301161766052246,-0.027692653238773346,0.0,0.7023665308952332,0.9500738978385925,-0.034359160810709,0.0,0.70766681432724,0.9658980369567871,-0.03883541375398636,0.0,0.6998680830001831,0.8895537257194519,-0.018681028857827187,0.0,0.7066934704780579,0.9157541394233704,-0.02658258005976677,0.0,0.7122781872749329,0.9316198825836182,-0.03139660879969597,0.0,0.7170568704605103,0.9445744752883911,-0.034516215324401855,0.0,38.652631924234896,28.699628869746615,9.554271398169107,15.164753542122506,6.471662245617108,4.461321628602542,8.719876465349696,7.465881501179281,2.2651913833424255,5.463309800603398,7.249960952449247,3.220443254057579,0.7679005675449484,4.611722348531036,3.3449438945096728,1.0,54.082
0.6678884625434875,0.7161320447921753,1.6535667279882205e-09,0.0,0.682218611240387,0.7239715456962585,-0.0002171350788557902,0.0,0.6918565034866333,0.742142915725708,-0.0018056461121886969,0.0,0.6949539184570312,0.756890058517456,-0.0036780252121388912,0.0,0.6940344572067261,0.7672214508056641,-0.005804438143968582,0.0,0.6891216039657593,0.7531783580780029,-0.005017087794840336,0.0,0.6935809850692749,0.7745298743247986,-0.008306657895445824,0.0,0.6958192586898804,0.7832196950912476,-0.010235673747956753,0.0,0.6984314322471619,0.7907707095146179,-0.01174253597855568,0.0,0.6833997368812561,0.7583143711090088,-0.007457087282091379,0.0,0.6883646845817566,0.7834850549697876,-0.011262978427112103,0.0,0.6923849582672119,0.7952988147735596,-0.013606537133455276,0.0,0.6966044902801514,0.8044379353523254,-0.015117677859961987,0.0,0.6766589879989624,0.7605254650115967,-0.009668679907917976,0.0,0.6852738857269287,0.7842025756835938,-0.01400403305888176,0.0,0.6927616596221924,0.7958371639251709,-0.01639232411980629,0.0,0.6996548175811768,0.8047714829444885,-0.01772475615143776,0.0,0.66987544298172,0.7598121166229248,-0.011565960943698883,0.0,0.6755338907241821,0.7780478596687317,-0.014985185116529465,0.0,0.6800541281700134,0.7876848578453064,-0.015663444995880127,0.0,0.6843794584274292,0.7954486608505249,-0.015874603763222694,0.0,33.53648749876851,16.21715886591179,17.312555458594165,17.95833328178242,4.407041158119408,4.772899661337958,8.975223480807141,7.843394799919235,6.266886492395915,8.95752971938422,12.584346507855553,5.722260181329857,15.023959958683514,10.179628681305905,4.597741210282957,1.0,54.134
0.6350594758987427,0.7240848541259766,1.5782823936660861e-07,0.0,0.6213484406471252,0.7224792838096619,-0.011058124713599682,0.0,0.6094610691070557,0.7238004803657532,-0.020201122388243675,0.0,0.6007752418518066,0.7209134697914124,-0.02849840745329857,0.0,0.5932930111885071,0.7175508141517639,-0.03712914511561394,0.0,0.6155900359153748,0.7627688646316528,-0.01746596209704876,0.0,0.6107150912284851,0.784404993057251,-0.02555183134973049,0.0,0.6096985936164856,0.798032283782959,-0.031386710703372955,0.0,0.6100161671638489,0.8106751441955566,-0.03560644015669823,0.0,0.6267915368080139,0.7693173289299011,-0.016947347670793533,0.0,0.6241821050643921,0.7932950854301453,-0.023304099217057228,0.0,0.6241185069084167,0.8086990118026733,-0.027915088459849358,0.0,0.6250163316726685,0.822474479675293,-0.03172532841563225,0.0,0.6380028128623962,0.7696980237960815,-0.01707771047949791,0.0,0.6388624310493469,0.7932062149047852,-0.022282088175415993,0.0,0.6407216787338257,0.8074595332145691,-0.025973916053771973,0.0,0.642951488494873,0.8197237849235535,-0.0286983884871006,0.0,0.6489312052726746,0.7658420205116272,-0.018141645938158035,0.0,0.6517360806465149,0.7850380539894104,-0.022073525935411453,0.0,0.6539192199707031,0.7968993186950684,-0.023778749629855156,0.0,0.6559602618217468,0.8074039220809937,-0.02510443516075611,0.0,10.32747879467184,19.52013248122651,5.9526127060951515,13.224425974747286,8.425905372838939,7.08746452940461,6.747289954710979,6.0561300189146605,4.005793502987532,8.157018486347901,5.538091992533885,3.481120929345441,14.56669386129401,3.9965361230772904,1.134447272160796,1.0,54.462
0.6264936923980713,0.8677352070808411,1.6018751125557174e-07,0.0,0.6071611046791077,0.8662480115890503,-0.014499248005449772,0.0,0.5922343730926514,0.8773637413978577,-0.022402100265026093,0.0,0.5839647054672241,0.8939411044120789,-0.028553297743201256,0.0,0.5781823992729187,0.9116663336753845,-0.03421450033783913,0.0,0.6014318466186523,0.9349770545959473,-0.013662555254995823,0.0,0.5983066558837891,0.9669862389564514,-0.021653154864907265,0.0,0.5972788333892822,0.9872891306877136,-0.02801264263689518,0.0,0.5969356298446655,1.004325270652771,-0.032399434596300125,0.0,0.6138123869895935,0.941800594329834,-0.011229985393583775,0.0,0.6114691495895386,0.9739930629730225,-0.017928117886185646,0.0,0.6108665466308594,0.9948555827140808,-0.02405056729912758,0.0,0.6101760864257812,1.0118415355682373,-0.02845202386379242,0.0,0.6255784034729004,0.9411978721618652,-0.010249951854348183,0.0,0.6251077651977539,0.9721800088882446,-0.016557490453124046,0.0,0.6258757710456848,0.9928229451179504,-0.021929346024990082,0.0,0.6259328722953796,1.0099472999572754,-0.025360122323036194,0.0,0.6373857259750366,0.9356470108032227,-0.010552908293902874,0.0,0.6390551924705505,0.9619075059890747,-0.01611340045928955,0.0,0.6405766010284424,0.9798586368560791,-0.019739296287298203,0.0,0.6411089301109314,0.9958847165107727,-0.021906962618231773,0.0,37.83515330067599,25.471214084144172,8.182135637364723,14.8585522684282,4.281771436102209,3.3795683803323047,6.345366128940698,5.226165991991365,1.9445361417277052,3.566928024056395,4.239548510312574,3.757759318663311,6.268362118033893,1.3046390890112944,4.686426233043442,1.0,54.544
0.6215412616729736,0.8728400468826294,1.5395134767004492e-07,0.0,0.605596125125885,0.8744237422943115,-0.014121992513537407,0.0,0.5911731123924255,0.8884181380271912,-0.020870506763458252,0.0,0.5825028419494629,0.906144380569458,-0.02613220550119877,0.0,0.5765264630317688,0.923740565776825,-0.03076188452541828,0.0,0.5999685525894165,0.9469960331916809,-0.009875445626676083,0.0,0.5970910787582397,0.9777888655662537,-0.016921278089284897,0.0,0.5961865782737732,0.9965996146202087,-0.023272614926099777,0.0,0.5951104164123535,1.0124567747116089,-0.02767176181077957,0.0,0.6120022535324097,0.9541578888893127,-0.007324156817048788,0.0,0.6101279854774475,0.9859626889228821,-0.013067629188299179,0.0,0.6094019412994385,1.006234049797058,-0.01887962594628334,0.0,0.608293354511261,1.0222707986831665,-0.02300860732793808,0.0,0.6232529878616333,0.9539688229560852,-0.006461767014116049,0.0,0.6229470372200012,0.9844125509262085,-0.01238541305065155,0.0,0.6234879493713379,1.0044457912445068,-0.017393065616488457,0.0,0.6236137747764587,1.0206048488616943,-0.020489754155278206,0.0,0.6345506906509399,0.9477284550666809,-0.006928726099431515,0.0,0.6366211175918579,0.9740078449249268,-0.012678954750299454,0.0,0.6386443972587585,0.9911457300186157,-0.015924060717225075,0.0,0.6403540968894958,1.0060629844665527,-0.017594968900084496,0.0,39.88404088726727,19.293215773939224,7.1351639008734455,12.060652696033621,6.313408936055239,3.344600098732858,6.07361803475937,5.910949550954109,2.4246261540044,6.6947310483785,3.661662459107979,3.3579304314843976,8.848085657084528,2.740334095544278,4.304297498658644,1.0,54.589
0.6216043829917908,0.8543610572814941,1.0808207662194036e-07,0.0,0.6042841672897339,0.8552645444869995,-0.01624600775539875,0.0,0.589388370513916,0.869053304195404,-0.02456967905163765,0.0,0.5814088582992554,0.8871476650238037,-0.031054126098752022,0.0,0.5754992365837097,0.9054986238479614,-0.03713543713092804,0.0,0.5992926955223083,0.9288555383682251,-0.01658630557358265,0.0,0.5974742770195007,0.9642335176467896,-0.025894680991768837,0.0,0.5976447463035583,0.985985517501831,-0.03320295736193657,0.0,0.5978429317474365,1.0047799348831177,-0.038378551602363586,0.0,0.6116328835487366,0.9356347918510437,-0.014014843851327896,0.0,0.6113502979278564,0.9719901084899902,-0.022300846874713898,0.0,0.6121435165405273,0.9946092963218689,-0.029379285871982574,0.0,0.6127854585647583,1.0134282112121582,-0.03448540344834328,0.0,0.6230206489562988,0.9344950914382935,-0.012934055179357529,0.0,0.6242777109146118,0.9688363075256348,-0.020880376920104027,0.0,0.6269347667694092,0.9907152652740479,-0.026888946071267128,0.0,0.6294570565223694,1.0085570812225342,-0.030744418501853943,0.0,0.6340084671974182,0.9272773265838623,-0.01328193861991167,0.0,0.637024462223053,0.9552560448646545,-0.020786946639418602,0.0,0.6404817700386047,0.9732542037963867,-0.02510056644678116,0.0,0.6442004442214966,0.9887736439704895,-0.027595192193984985,0.0,38.909816721096824,22.331578916134934,5.697850213896687,13.621731366969778,5.036108183854554,3.178704371443396,7.142519665648461,5.10988270628602,2.195456225268244,3.99675298427299,5.185109047590969,3.3546333925012783,5.853413030460922,4.88022999952714,5.0520836045782955,1.0,54.992
